image,gt_count,YOLOv8_det,YOLOv8_conf,YOLOv8_ms,YOLOv8_prec,YOLOv8_rec,YOLOv8_f1,YOLOv8_ap,Faster_RCNN_det,Faster_RCNN_conf,Faster_RCNN_ms,Faster_RCNN_prec,Faster_RCNN_rec,Faster_RCNN_f1,Faster_RCNN_ap,SSD300_det,SSD300_conf,SSD300_ms,SSD300_prec,SSD300_rec,SSD300_f1,SSD300_ap
image_430_jpg.rf.666b39932fb2b57f1f3cb9ed68b5e148.jpg,20,0,0.0,504.4,0.0,0.0,0.0,0.0,11,0.843,2047.8,0.6364,0.35,0.4516,0.3523,5,0.739,422.9,1.0,0.25,0.4,0.2727
image_207_jpg.rf.73041747b36854e6b560f3863add5823.jpg,16,0,0.0,252.3,0.0,0.0,0.0,0.0,8,0.808,1843.8,0.5,0.25,0.3333,0.2424,4,0.689,424.4,0.75,0.1875,0.3,0.1591
image_223_jpg.rf.30a03af51e9363a3c0cf65b3030d5458.jpg,51,0,0.0,192.2,0.0,0.0,0.0,0.0,26,0.627,1746.7,0.5,0.2549,0.3377,0.2305,6,0.505,385.4,0.8333,0.098,0.1754,0.0909
image_167_jpg.rf.9a2f83b491de931bf72e9684e288073b.jpg,8,1,0.787,218.5,1.0,0.125,0.2222,0.1818,13,0.899,1719.4,0.0769,0.125,0.0952,0.1818,8,0.635,389.6,0.125,0.125,0.125,0.0227
Image18_JPG_jpg.rf.d849b05c003f3bfbdb977019994a06be.jpg,5,1,0.563,203.3,1.0,0.2,0.3333,0.2727,13,0.835,1754.7,0.0769,0.2,0.1111,0.2727,6,0.611,391.3,0.1667,0.2,0.1818,0.0455
image_212_jpg.rf.2c9d0627ce3f4fdff78b154d856f4281.jpg,5,1,0.779,203.0,1.0,0.2,0.3333,0.2727,16,0.788,1963.1,0.0625,0.2,0.0952,0.2727,6,0.716,460.6,0.1667,0.2,0.1818,0.0455
image_145_jpg.rf.e9a7316a047534b38d05115b2abcb661.jpg,8,1,0.859,195.1,1.0,0.125,0.2222,0.1818,15,0.79,1867.6,0.0667,0.125,0.087,0.0606,6,0.684,403.9,0.1667,0.125,0.1429,0.1818
image_272_jpg.rf.ad98ec9098df5cfa2c9398675a5711bf.jpg,45,1,0.622,199.4,1.0,0.0222,0.0435,0.0909,24,0.725,1786.2,0.5417,0.2889,0.3768,0.2193,11,0.606,412.9,0.6364,0.1556,0.25,0.1377
image_31_jpg.rf.64f0a6643328b009ac2ca61ce5353d22.jpg,6,0,0.0,237.2,0.0,0.0,0.0,0.0,17,0.799,1730.5,0.0588,0.1667,0.087,0.0909,6,0.677,385.1,0.1667,0.1667,0.1667,0.0909
image_214_jpg.rf.d32c7326b9e1747feaaa6ad8205c8a30.jpg,9,1,0.609,193.3,0.0,0.0,0.0,0.0,14,0.808,1687.6,0.0714,0.1111,0.087,0.0909,5,0.706,371.5,0.2,0.1111,0.1429,0.0909
image_148_jpg.rf.906a01a88dc94e21f5a70fd139e26c56.jpg,10,2,0.705,199.6,1.0,0.2,0.3333,0.2727,12,0.831,1696.9,0.1667,0.2,0.1818,0.2727,6,0.779,375.2,0.3333,0.2,0.25,0.2424
image_379_jpg.rf.2272ef09146c0ce7ea6a466507bb11d1.jpg,35,0,0.0,193.6,0.0,0.0,0.0,0.0,18,0.743,1771.9,0.5556,0.2857,0.3774,0.2121,6,0.69,408.2,0.5,0.0857,0.1463,0.0909
Image03_JPG_jpg.rf.9a2147104d62bd148cafc8bb46c03f34.jpg,6,1,0.83,193.7,1.0,0.1667,0.2857,0.1818,4,0.995,1729.5,0.5,0.3333,0.4,0.303,4,0.95,381.4,0.5,0.3333,0.4,0.303
image_16_jpg.rf.55ffbe5ed5a680106953da97f85ff992.jpg,31,1,0.781,187.5,1.0,0.0323,0.0625,0.0909,20,0.666,1660.1,0.5,0.3226,0.3922,0.2273,7,0.659,381.0,0.5714,0.129,0.2105,0.1515
image_201_jpg.rf.15af0e88700b58a29fb9d43b3c13917d.jpg,4,1,0.862,185.0,1.0,0.25,0.4,0.2727,8,0.862,1646.1,0.25,0.5,0.3333,0.1818,5,0.746,398.0,0.2,0.25,0.2222,0.2727
image_382_jpg.rf.8a74a2ca7a3b24ebbbd5a90f870db92b.jpg,42,0,0.0,184.3,0.0,0.0,0.0,0.0,20,0.689,1674.9,0.35,0.1667,0.2258,0.0909,4,0.559,369.2,0.75,0.0714,0.1304,0.0909
image_270_jpg.rf.deff64df9d6012aba61b66ba2cb4cd28.jpg,30,0,0.0,182.2,0.0,0.0,0.0,0.0,14,0.751,1632.6,0.3571,0.1667,0.2273,0.1091,5,0.647,379.5,0.6,0.1,0.1714,0.1364
AdobeStock_135565686_Preview-1-_jpeg_jpg.rf.e4a9420d447e0472d671b79418225386.jpg,3,0,0.0,175.5,0.0,0.0,0.0,0.0,23,0.784,1658.8,0.0435,0.3333,0.0769,0.3636,9,0.657,400.6,0.1111,0.3333,0.1667,0.3636
image_242_jpg.rf.d8d18803b3b379c8e8a136327746b723.jpg,8,2,0.617,181.2,0.5,0.125,0.2,0.1818,16,0.811,1681.3,0.0625,0.125,0.0833,0.1818,7,0.657,420.5,0.1429,0.125,0.1333,0.0909
image_203_jpg.rf.8b3c35ee0b75fd7b99184688f22480fb.jpg,4,1,0.879,185.9,1.0,0.25,0.4,0.2727,14,0.773,1593.3,0.0714,0.25,0.1111,0.0909,4,0.874,383.4,0.25,0.25,0.25,0.2727
image_203_jpg.rf.076d5c403886e3bc2bc68667dd1c2252.jpg,18,0,0.0,181.2,0.0,0.0,0.0,0.0,7,0.677,1620.5,0.2857,0.1111,0.16,0.1818,1,0.481,380.0,1.0,0.0556,0.1053,0.0909
image_16_jpg.rf.35b1319b1901db777a3eda97248efbb6.jpg,8,1,0.721,175.6,1.0,0.125,0.2222,0.1818,17,0.798,1669.1,0.0588,0.125,0.08,0.1818,7,0.747,378.4,0.1429,0.125,0.1333,0.0364
Image30_JPG_jpg.rf.b526401bcbfe2263501527e3808642f8.jpg,3,1,0.865,182.7,1.0,0.3333,0.5,0.3636,6,0.929,1619.1,0.1667,0.3333,0.2222,0.3636,4,0.805,389.7,0.25,0.3333,0.2857,0.1818
image_288_jpg.rf.f2e892bc6cd2f30d37e77d02dd10a77c.jpg,6,1,0.847,180.8,1.0,0.1667,0.2857,0.1818,12,0.849,1631.0,0.0,0.0,0.0,0.0,7,0.66,376.1,0.0,0.0,0.0,0.0
image_278_jpg.rf.9c5897f4e61d453e149ebdf7e09adfc0.jpg,4,1,0.862,189.6,1.0,0.25,0.4,0.2727,8,0.86,1645.4,0.125,0.25,0.1667,0.2727,5,0.854,410.0,0.2,0.25,0.2222,0.2727
image_474_jpg.rf.16aabd29cb7afb05117d5fac449a9f22.jpg,20,0,0.0,217.6,0.0,0.0,0.0,0.0,11,0.755,1831.2,0.5455,0.3,0.3871,0.2545,5,0.709,411.8,0.6,0.15,0.24,0.1591
image_67_jpg.rf.723353cfad8eb6553ab55276dccefbd6.jpg,30,0,0.0,175.3,0.0,0.0,0.0,0.0,12,0.635,1655.2,0.4167,0.1667,0.2381,0.1364,3,0.771,380.5,1.0,0.1,0.1818,0.1818
Image10_JPG_jpg.rf.e65b55528a15904a2d39db988d944b12.jpg,4,2,0.619,184.5,1.0,0.5,0.6667,0.5455,3,0.984,1634.1,0.3333,0.25,0.2857,0.2727,3,0.873,364.8,0.3333,0.25,0.2857,0.1364
image_239_jpg.rf.db5f31b87201af99fc5a9aa3c4e4f9ad.jpg,7,1,0.906,180.6,1.0,0.1429,0.25,0.1818,9,0.92,1646.4,0.1111,0.1429,0.125,0.1818,5,0.838,378.6,0.2,0.1429,0.1667,0.1818
image_317_jpg.rf.b4a7f9144e03075aa4206ad0e6baeac9.jpg,31,0,0.0,176.4,0.0,0.0,0.0,0.0,15,0.69,1655.6,0.4667,0.2258,0.3043,0.2303,7,0.623,380.2,0.5714,0.129,0.2105,0.1429
image_210_jpg.rf.8aa2216ad7ca62957872176a9f4f48c4.jpg,7,1,0.878,180.6,1.0,0.1429,0.25,0.1818,17,0.749,1659.0,0.0588,0.1429,0.0833,0.1818,7,0.798,398.0,0.1429,0.1429,0.1429,0.1818
image_202_jpg.rf.70874a13f62278d6696c7bb3ae629cfa.jpg,23,0,0.0,182.1,0.0,0.0,0.0,0.0,6,0.821,1616.9,0.6667,0.1739,0.2759,0.1636,4,0.598,396.7,0.5,0.087,0.1481,0.0606
image_300_jpg.rf.d31859e2c6877e60588e3633b7ef7030.jpg,8,1,0.748,207.6,1.0,0.125,0.2222,0.1818,15,0.843,1677.2,0.0667,0.125,0.087,0.1818,7,0.769,387.2,0.1429,0.125,0.1333,0.1818
Image29_JPG_jpg.rf.7f1b928802ccdd85fdb1e6f8b40622ed.jpg,3,1,0.839,180.5,1.0,0.3333,0.5,0.3636,5,0.873,1579.4,0.2,0.3333,0.25,0.3636,4,0.865,377.6,0.25,0.3333,0.2857,0.3636
image_257_jpg.rf.5d699a45c5bad4d36851d304df42679e.jpg,10,2,0.749,172.8,1.0,0.2,0.3333,0.2727,16,0.801,1634.1,0.125,0.2,0.1538,0.2273,5,0.755,378.6,0.4,0.2,0.2667,0.1364
image_229_jpg.rf.1bb8caec8bb708d70f339f3eb5a2d754.jpg,6,2,0.676,192.5,0.5,0.1667,0.25,0.1818,12,0.762,1746.7,0.0833,0.1667,0.1111,0.1818,5,0.713,392.3,0.2,0.1667,0.1818,0.0909
image_380_jpg.rf.25e6a667cfffcfd9db3386b0ba350de7.jpg,36,0,0.0,191.1,0.0,0.0,0.0,0.0,22,0.725,1668.4,0.3182,0.1944,0.2414,0.1414,6,0.496,403.6,0.6667,0.1111,0.1905,0.1515
image_307_jpg.rf.05e4191aa56c2650e24084b3ce5d580d.jpg,36,0,0.0,219.0,0.0,0.0,0.0,0.0,15,0.681,1696.8,0.4667,0.1944,0.2745,0.1515,4,0.708,374.7,0.75,0.0833,0.15,0.0909
Image3_JPG_jpg.rf.71da0f1eb59b694b85de3c76498089ba.jpg,3,1,0.835,179.6,1.0,0.3333,0.5,0.3636,5,0.908,1631.5,0.2,0.3333,0.25,0.3636,4,0.87,381.0,0.25,0.3333,0.2857,0.3636
image_166_jpg.rf.4b19bcfd8cfbd79d0fb8d536b02d2f11.jpg,44,0,0.0,189.4,0.0,0.0,0.0,0.0,20,0.727,1703.2,0.55,0.25,0.3438,0.2114,8,0.579,417.3,0.625,0.1136,0.1923,0.1477
image_280_jpg.rf.51dbeadbdb9fa6c0cc18500c4447f71f.jpg,4,1,0.857,180.7,1.0,0.25,0.4,0.2727,10,0.785,1641.7,0.1,0.25,0.1429,0.1364,6,0.804,392.0,0.1667,0.25,0.2,0.2727
image_21_jpg.rf.f3b7c29ae09ccf5592271a9298e70a87.jpg,6,1,0.832,186.8,1.0,0.1667,0.2857,0.1818,16,0.732,1655.0,0.0625,0.1667,0.0909,0.0606,6,0.731,375.1,0.0,0.0,0.0,0.0
