plant,location,sunlight,water,tip
Snake Plant,corner,low,once a week,Very easy plant for beginners
Pothos,desk,medium,2-3 times per week,Grows well indoors
Aloe Vera,window,high,once a week,Needs strong sunlight
Peace Lily,corner,low,2 times per week,Good air purifying plant
Spider Plant,window,medium,2-3 times per week,Very adaptable plant
Mint,balcony,high,every day,Great for cooking
Basil,window,high,every day,Needs warm sunlight
Chili,balcony,high,every day,Grows well in strong sunlight
Green Onion,window,medium,every day,Can grow easily in small pots
Thai Basil,window,high,every day,Popular herb in Thai food