Brand,Model,Type,Price (THB),Fuel Type,Consumption (km/l),Common Problems,Reliability (1/10),Total_Cost_Month
Toyota,Yaris Hatchback,Hatchback,"549,000",Petrol,23,Noise,9,"12,000"
,Yaris Ativ Sport,Sedan,"559,000",Petrol,23,Noise,9,"12,000"
,Yaris Ativ Smart,Sedan,"579,000",Petrol,23,Noise,9,"12,500"
,Yaris Ativ Premium,Sedan,"599,000",Petrol,23,Noise,9,"13,000"
,Vios Entry,Sedan,"609,000",Petrol,20,Transmission,9,"13,500"
,Vios Mid,Sedan,"659,000",Petrol,20,Transmission,9,"14,000"
,Hilux Revo L,Pickup,"800,000",Diesel,14,Noise,9,"15,000"
,Hilux Revo Z,Pickup,"900,000",Diesel,14,Noise,9,"16,000"
,Corolla Altis,Sedan,"999,000",Hybrid,23,Hybrid Battery,9,"16,000"
,Corolla Cross,SUV,"999,000",Hybrid,21,Electrical System,9,"16,000"
,Corolla Altis GR,Sedan,"1,050,000",Hybrid,23,Hybrid Battery,9,"17,000"
,Hilux Revo Rocco,Pickup,"1,100,000",Diesel,13,Noise,9,"18,000"
,Camry,Sedan,"1,455,000",Hybrid,22,Hybrid Battery,9,"20,000"
,Fortuner Leader,SUV,"1,500,000",Diesel,14,Suspension,9,"22,000"
,Fortuner Legender,SUV,"1,650,000",Diesel,14,Suspension,9,"24,000"
Honda,City S,Sedan,"629,000",Petrol,22,Stiff Suspension,9,"14,000"
,City V,Sedan,"689,000",Petrol,22,Stiff Suspension,9,"14,500"
,City RS,Sedan,"739,000",Petrol,22,Stiff Suspension,9,"15,000"
,HR-V,SUV,"949,000",Hybrid,21,Electrical System,9,"16,000"
,Civic EL,Sedan,"964,000",Petrol,18,High Repair Cost,8,"18,000"
,Civic RS,Sedan,"1,199,000",Petrol,17,High Repair Cost,8,"20,000"
,CR-V,SUV,"1,419,000",Hybrid,20,Expensive,9,"20,000"
,Accord,Sedan,"1,500,000",Hybrid,22,Hybrid Battery,9,"20,000"
Mazda,2 Hatchback,Hatchback,"599,000",Petrol,22,Transmission,8,"13,000"
,2 Sedan,Sedan,"599,000",Petrol,22,Transmission,8,"13,000"
,3,Sedan,"969,000",Petrol,17,Fuel Consumption,8,"18,000"
,3 Fastback,Hatchback,"989,000",Petrol,17,Fuel Consumption,8,"18,500"
,CX-30,SUV,"989,000",Petrol,15,Fuel Consumption,8,"20,000"
,CX-5,SUV,"1,200,000",Diesel,14,High Repair Cost,8,"21,000"
Isuzu,D-Max L,Pickup,"570,000",Diesel,14,Noise,9,"13,000"
,D-Max Z,Pickup,"650,000",Diesel,14,Noise,9,"14,000"
,D-Max X-Series,Pickup,"750,000",Diesel,14,Noise,9,"15,000"
,MU-X,SUV,"1,200,000",Diesel,13,Suspension,9,"21,000"
Ford,Ranger XL,Pickup,"669,000",Diesel,13,Transmission,8,"15,000"
,Ranger Wildtrak,Pickup,"999,000",Diesel,13,Transmission,8,"18,000"
,Everest,SUV,"1,397,000",Diesel,13,High Repair Cost,8,"22,000"
,Ranger Raptor,Pickup,"1,700,000",Diesel,10,Fuel Consumption,8,"25,000"
BYD,Dolphin,Hatchback,"699,000",EV,0 (Electric),Software Issues,8,"12,000"
,Atto 3,SUV,"1,099,000",EV,0 (Electric),Software Issues,8,"14,000"
,Seal,Sedan,"1,399,000",EV,0 (Electric),Software Issues,8,"15,000"
MG,3 Hybrid,Hatchback,"579,000",Hybrid,25,Electrical System,7,"12,000"
,5,Sedan,"589,000",Petrol,20,Electrical System,7,"12,500"
,ZS,SUV,"689,000",Petrol,17,Electrical System,7,"15,000"
,ZS EV,SUV,"829,000",EV,0 (Electric),Software Issues,7,"12,000"
Nissan,Almera,Sedan,"549,000",Petrol,23,Engine Vibration,8,"12,000"
,Navara,Pickup,"750,000",Diesel,14,Suspension,8,"15,000"
,Kicks,SUV,"889,000",Hybrid,23,Electrical System,8,"15,000"
Mitsu,Attrage,Sedan,"494,000",Petrol,23,Transmission,8,"11,000"
,Mirage,Hatchback,"509,000",Petrol,23,Transmission,8,"11,500"
,Triton,Pickup,"700,000",Diesel,14,Noise,8,"14,000"
,Xpander,SUV,"799,000",Petrol,16,Suspension,8,"15,000"